vote	constituency	date	name_ch	name_en	vote_number
Yes	Geographical	21/11/2012	謝偉俊	Paul TSE	[u'2']
No	Geographical	21/11/2012	梁家傑	Alan LEONG	[u'2']
No	Geographical	21/11/2012	梁國雄	LEUNG Kwok-hung	[u'2']
No	Geographical	21/11/2012	陳偉業	Albert CHAN	[u'2']
No	Geographical	21/11/2012	黃毓民	WONG Yuk-man	[u'2']
No	Geographical	21/11/2012	毛孟靜	Claudia MO	[u'2']
Yes	Geographical	21/11/2012	田北辰	Michael TIEN	[u'2']
Yes	Functional	07/11/2012	方剛	Vincent FANG	[u'2']
Abstain	Geographical	07/11/2012	王國興	WONG Kwok-hing	[u'2']
No	Functional	07/11/2012	李國麟	Dr Joseph LEE	[u'2']
Abstain	Functional	07/11/2012	林健鋒	Jeffrey LAM	[u'2']
Abstain	Functional	07/11/2012	梁君彥	Andrew LEUNG	[u'2']
Yes	Functional	07/11/2012	黃定光	WONG Ting-kwong	[u'2']
No	Geographical	07/11/2012	湯家驊	Ronny TONG	[u'2']
No	Geographical	07/11/2012	何秀蘭	Cyd HO	[u'2']
Yes	Functional	07/11/2012	李慧琼	Starry LEE	[u'2']
Abstain	Functional	07/11/2012	林大輝	Dr LAM Tai-fai	[u'2']
Absent	Geographical	07/11/2012	陳克勤	CHAN Hak-kan	[u'2']
Yes	Functional	07/11/2012	陳健波	CHAN Kin-por	[u'2']
Abstain	Geographical	07/11/2012	梁美芬	Dr Priscilla LEUNG	[u'2']
Yes	Geographical	06/12/2012	何秀蘭	Cyd HO	[u'2']
Absent	Functional	06/12/2012	李慧琼	Starry LEE	[u'2']
Absent	Functional	06/12/2012	林大輝	Dr LAM Tai-fai	[u'2']
No	Geographical	06/12/2012	陳克勤	CHAN Hak-kan	[u'2']
No	Functional	06/12/2012	陳健波	CHAN Kin-por	[u'2']
No	Geographical	06/12/2012	梁美芬	Dr Priscilla LEUNG	[u'2']
Absent	Functional	06/12/2012	梁家騮	Dr LEUNG Ka-lau	[u'2']
Yes	Functional	06/12/2012	張國柱	CHEUNG Kwok-che	[u'2']
No	Geographical	06/12/2012	黃國健	WONG Kwok-kin	[u'2']
No	Functional	06/12/2012	葉國謙	IP Kwok-him	[u'2']
Absent	Geographical	06/12/2012	葉劉淑儀	Mrs Regina IP	[u'2']
No	Geographical	06/12/2012	謝偉俊	Paul TSE	[u'2']
Yes	Geographical	06/12/2012	梁家傑	Alan LEONG	[u'2']
Yes	Functional	24/10/2012	張宇人	Tommy CHEUNG	[u'2']
No	Functional	24/10/2012	馮檢基	Frederick FUNG	[u'2']
Absent	Functional	24/10/2012	方剛	Vincent FANG	[u'2']
Abstain	Geographical	24/10/2012	王國興	WONG Kwok-hing	[u'2']
No	Functional	24/10/2012	李國麟	Dr Joseph LEE	[u'2']
Abstain	Functional	24/10/2012	林健鋒	Jeffrey LAM	[u'2']
Abstain	Functional	24/10/2012	梁君彥	Andrew LEUNG	[u'2']
Yes	Functional	24/10/2012	黃定光	WONG Ting-kwong	[u'2']
Yes	Functional	12/12/2012	涂謹申	James TO	[u'2']
No	Geographical	12/12/2012	陳鑑林	CHAN Kam-lam	[u'2']
Yes	Geographical	12/12/2012	梁耀忠	LEUNG Yiu-chung	[u'2']
No	Functional	12/12/2012	劉皇發	Dr LAU Wong-fat	[u'2']
Yes	Geographical	12/12/2012	劉慧卿	Emily LAU	[u'2']
No	Geographical	12/12/2012	譚耀宗	TAM Yiu-chung	[u'2']
No	Functional	12/12/2012	石禮謙	Abraham SHEK	[u'2']
Abstain	Functional	12/12/2012	張宇人	Tommy CHEUNG	[u'2']
Absent	Functional	12/12/2012	馮檢基	Frederick FUNG	[u'2']
Abstain	Functional	12/12/2012	方剛	Vincent FANG	[u'2']
No	Geographical	12/12/2012	王國興	WONG Kwok-hing	[u'2']
Yes	Functional	12/12/2012	李國麟	Dr Joseph LEE	[u'2']
No	Functional	12/12/2012	林健鋒	Jeffrey LAM	[u'2']
No	Geographical	01/02/2013	梁志祥	LEUNG Che-cheung	[u'1']
Yes	Functional	01/02/2013	梁繼昌	Kenneth LEUNG	[u'1']
Abstain	Geographical	01/02/2013	麥美娟	Alice MAK	[u'1']
Yes	Geographical	01/02/2013	郭家麒	Dr KWOK Ka-ki	[u'1']
Abstain	Functional	01/02/2013	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	01/02/2013	郭榮鏗	Dennis KWOK	[u'1']
No	Functional	01/02/2013	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	01/02/2013	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	01/02/2013	單仲偕	SIN Chung-kai	[u'1']
Yes	Geographical	01/02/2013	黃碧雲	Dr Helena WONG	[u'1']
Yes	Functional	01/02/2013	葉建源	IP Kin-yuen	[u'1']
Yes	Functional	23/01/2013	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	23/01/2013	郭榮鏗	Dennis KWOK	[u'1']
No	Functional	23/01/2013	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	23/01/2013	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	23/01/2013	單仲偕	SIN Chung-kai	[u'1']
Yes	Geographical	23/01/2013	黃碧雲	Dr Helena WONG	[u'1']
Yes	Functional	23/01/2013	葉建源	IP Kin-yuen	[u'1']
Abstain	Geographical	23/01/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
No	Functional	23/01/2013	廖長江	Martin LIAO	[u'1']
Absent	Functional	23/01/2013	潘兆平	POON Siu-ping	[u'1']
Yes	Functional	23/01/2013	鄧家彪	TANG Ka-piu	[u'1']
Abstain	Geographical	23/01/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
No	Functional	23/01/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
Yes	Functional	20/03/2013	梁繼昌	Kenneth LEUNG	[u'1']
Yes	Geographical	20/03/2013	麥美娟	Alice MAK	[u'1']
Yes	Geographical	20/03/2013	郭家麒	Dr KWOK Ka-ki	[u'1']
Absent	Functional	20/03/2013	郭偉強	KWOK Wai-keung	[u'1']
Absent	Functional	20/03/2013	郭榮鏗	Dennis KWOK	[u'1']
Yes	Functional	20/03/2013	張華峰	Christopher CHEUNG	[u'1']
Absent	Geographical	20/03/2013	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	20/03/2013	單仲偕	SIN Chung-kai	[u'1']
Yes	Geographical	20/03/2013	黃碧雲	Dr Helena WONG	[u'1']
Yes	Functional	20/03/2013	葉建源	IP Kin-yuen	[u'1']
No	Geographical	19/12/2012	梁志祥	LEUNG Che-cheung	[u'1']
Yes	Functional	19/12/2012	梁繼昌	Kenneth LEUNG	[u'1']
No	Geographical	19/12/2012	麥美娟	Alice MAK	[u'1']
Yes	Geographical	19/12/2012	郭家麒	Dr KWOK Ka-ki	[u'1']
No	Functional	19/12/2012	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	19/12/2012	郭榮鏗	Dennis KWOK	[u'1']
No	Functional	19/12/2012	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	19/12/2012	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	19/12/2012	單仲偕	SIN Chung-kai	[u'1']
Yes	Geographical	19/12/2012	黃碧雲	Dr Helena WONG	[u'1']
Yes	Functional	19/12/2012	葉建源	IP Kin-yuen	[u'1']
No	Geographical	19/12/2012	葛珮帆	Dr Elizabeth QUAT	[u'1']
No	Geographical	09/01/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
No	Functional	09/01/2013	廖長江	Martin LIAO	[u'1']
No	Functional	09/01/2013	潘兆平	POON Siu-ping	[u'1']
No	Functional	09/01/2013	鄧家彪	TANG Ka-piu	[u'1']
No	Geographical	09/01/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
No	Functional	09/01/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
No	Functional	09/01/2013	鍾國斌	CHUNG Kwok-pan	[u'1']
Absent	Geographical	09/01/2013	鍾樹根	Christopher CHUNG	[u'1']
No	Functional	09/01/2013	謝偉銓	Tony TSE	[u'1']
Present	Geographical	10/01/2013	曾鈺成	TSANG Yok-sing	[u'2']
Yes	Functional	10/01/2013	何俊仁	Albert HO	[u'2']
Yes	Geographical	10/01/2013	李卓人	LEE Cheuk-yan	[u'2']
Yes	Geographical	27/03/2013	梁志祥	LEUNG Che-cheung	[u'1']
Yes	Functional	27/03/2013	梁繼昌	Kenneth LEUNG	[u'1']
Yes	Geographical	27/03/2013	麥美娟	Alice MAK	[u'1']
Yes	Geographical	27/03/2013	郭家麒	Dr KWOK Ka-ki	[u'1']
Yes	Functional	27/03/2013	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	27/03/2013	郭榮鏗	Dennis KWOK	[u'1']
Yes	Functional	27/03/2013	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	27/03/2013	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	27/03/2013	單仲偕	SIN Chung-kai	[u'1']
Absent	Geographical	27/03/2013	黃碧雲	Dr Helena WONG	[u'1']
Absent	Functional	27/03/2013	葉建源	IP Kin-yuen	[u'1']
Yes	Geographical	27/03/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
Yes	Functional	27/03/2013	廖長江	Martin LIAO	[u'1']
Yes	Functional	27/03/2013	潘兆平	POON Siu-ping	[u'1']
Yes	Functional	27/03/2013	鄧家彪	TANG Ka-piu	[u'1']
No	Functional	20/02/2013	馬逢國	MA Fung-kwok	[u'1']
Yes	Functional	20/02/2013	莫乃光	Charles Peter MOK	[u'1']
Yes	Geographical	20/02/2013	陳志全	CHAN Chi-chuen	[u'1']
Absent	Geographical	20/02/2013	陳恒鑌	CHAN Han-pan	[u'1']
Yes	Geographical	20/02/2013	陳家洛	Dr Kenneth CHAN	[u'1']
No	Functional	20/02/2013	陳婉嫻	CHAN Yuen-han	[u'1']
No	Geographical	20/02/2013	梁志祥	LEUNG Che-cheung	[u'1']
Yes	Functional	20/02/2013	梁繼昌	Kenneth LEUNG	[u'1']
No	Geographical	20/02/2013	麥美娟	Alice MAK	[u'1']
Yes	Geographical	06/02/2013	范國威	Gary FAN	[u'1']
Yes	Functional	06/02/2013	馬逢國	MA Fung-kwok	[u'1']
No	Functional	06/02/2013	莫乃光	Charles Peter MOK	[u'1']
Absent	Geographical	06/02/2013	陳志全	CHAN Chi-chuen	[u'1']
Yes	Geographical	06/02/2013	陳恒鑌	CHAN Han-pan	[u'1']
Yes	Geographical	06/02/2013	陳家洛	Dr Kenneth CHAN	[u'1']
Absent	Functional	06/02/2013	陳婉嫻	CHAN Yuen-han	[u'1']
Yes	Geographical	06/02/2013	梁志祥	LEUNG Che-cheung	[u'1']
No	Functional	06/02/2013	梁繼昌	Kenneth LEUNG	[u'1']
Yes	Geographical	06/02/2013	麥美娟	Alice MAK	[u'1']
Yes	Geographical	06/02/2013	郭家麒	Dr KWOK Ka-ki	[u'1']
Yes	Functional	06/02/2013	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	06/02/2013	郭榮鏗	Dennis KWOK	[u'1']
Yes	Functional	24/04/2013	林大輝	Dr LAM Tai-fai	[u'1']
Yes	Geographical	24/04/2013	陳克勤	CHAN Hak-kan	[u'1']
Yes	Functional	24/04/2013	陳健波	CHAN Kin-por	[u'1']
Yes	Geographical	24/04/2013	梁美芬	Dr Priscilla LEUNG	[u'1']
Yes	Functional	24/04/2013	梁家騮	Dr LEUNG Ka-lau	[u'1']
No	Functional	24/04/2013	張國柱	CHEUNG Kwok-che	[u'1']
Yes	Geographical	24/04/2013	黃國健	WONG Kwok-kin	[u'1']
Yes	Functional	24/04/2013	葉國謙	IP Kwok-him	[u'1']
Yes	Geographical	24/04/2013	葉劉淑儀	Mrs Regina IP	[u'1']
Yes	Geographical	24/04/2013	謝偉俊	Paul TSE	[u'1']
No	Geographical	24/04/2013	梁家傑	Alan LEONG	[u'1']
No	Geographical	24/04/2013	梁國雄	LEUNG Kwok-hung	[u'1']
Present	Geographical	22/05/2013	曾鈺成	TSANG Yok-sing	[u'1']
Yes	Functional	22/05/2013	何俊仁	Albert HO	[u'1']
Absent	Geographical	22/05/2013	李卓人	LEE Cheuk-yan	[u'1']
Absent	Functional	22/05/2013	涂謹申	James TO	[u'1']
Yes	Geographical	22/05/2013	陳鑑林	CHAN Kam-lam	[u'1']
Yes	Geographical	22/05/2013	梁耀忠	LEUNG Yiu-chung	[u'1']
Absent	Functional	22/05/2013	劉皇發	Dr LAU Wong-fat	[u'1']
Yes	Geographical	22/05/2013	劉慧卿	Emily LAU	[u'1']
Yes	Geographical	22/05/2013	譚耀宗	TAM Yiu-chung	[u'1']
Yes	Functional	22/05/2013	石禮謙	Abraham SHEK	[u'1']
Absent	Functional	22/05/2013	張宇人	Tommy CHEUNG	[u'1']
Yes	Functional	22/05/2013	馮檢基	Frederick FUNG	[u'1']
Abstain	Functional	28/11/2012	鄧家彪	TANG Ka-piu	[u'2']
No	Geographical	28/11/2012	蔣麗芸	Dr CHIANG Lai-wan	[u'2']
No	Functional	28/11/2012	盧偉國	Ir Dr LO Wai-kwok	[u'2']
No	Functional	28/11/2012	鍾國斌	CHUNG Kwok-pan	[u'2']
No	Geographical	28/11/2012	鍾樹根	Christopher CHUNG	[u'2']
Abstain	Functional	28/11/2012	謝偉銓	Tony TSE	[u'2']
Present	Geographical	28/11/2012	曾鈺成	TSANG Yok-sing	[u'3']
Yes	Functional	28/11/2012	何俊仁	Albert HO	[u'3']
Yes	Geographical	28/11/2012	李卓人	LEE Cheuk-yan	[u'3']
No	Functional	31/10/2012	易志明	Frankie YICK	[u'2']
Yes	Geographical	31/10/2012	胡志偉	WU Chi-wai	[u'2']
No	Functional	31/10/2012	姚思榮	YIU Si-wing	[u'2']
Yes	Geographical	31/10/2012	范國威	Gary FAN	[u'2']
Abstain	Functional	31/10/2012	馬逢國	MA Fung-kwok	[u'2']
No	Functional	31/10/2012	莫乃光	Charles Peter MOK	[u'2']
Yes	Geographical	31/10/2012	陳志全	CHAN Chi-chuen	[u'2']
Abstain	Geographical	31/10/2012	陳恒鑌	CHAN Han-pan	[u'2']
Yes	Geographical	31/10/2012	陳家洛	Dr Kenneth CHAN	[u'2']
Yes	Geographical	14/11/2012	郭家麒	Dr KWOK Ka-ki	[u'2']
Yes	Functional	14/11/2012	郭偉強	KWOK Wai-keung	[u'2']
Yes	Functional	14/11/2012	郭榮鏗	Dennis KWOK	[u'2']
Abstain	Functional	14/11/2012	張華峰	Christopher CHEUNG	[u'2']
Yes	Geographical	14/11/2012	張超雄	Dr Fernando CHEUNG	[u'2']
Yes	Geographical	14/11/2012	單仲偕	SIN Chung-kai	[u'2']
Yes	Geographical	14/11/2012	黃碧雲	Dr Helena WONG	[u'2']
Yes	Functional	14/11/2012	葉建源	IP Kin-yuen	[u'2']
Yes	Geographical	14/11/2012	葛珮帆	Dr Elizabeth QUAT	[u'2']
No	Functional	14/11/2012	廖長江	Martin LIAO	[u'2']
Yes	Functional	14/11/2012	潘兆平	POON Siu-ping	[u'2']
Yes	Functional	14/11/2012	鄧家彪	TANG Ka-piu	[u'2']
No	Geographical	17/10/2012	陳克勤	CHAN Hak-kan	[u'2']
No	Functional	17/10/2012	陳健波	CHAN Kin-por	[u'2']
No	Geographical	17/10/2012	梁美芬	Dr Priscilla LEUNG	[u'2']
Absent	Functional	17/10/2012	梁家騮	Dr LEUNG Ka-lau	[u'2']
Yes	Functional	17/10/2012	張國柱	CHEUNG Kwok-che	[u'2']
No	Geographical	17/10/2012	黃國健	WONG Kwok-kin	[u'2']
No	Functional	17/10/2012	葉國謙	IP Kwok-him	[u'2']
No	Geographical	17/10/2012	葉劉淑儀	Mrs Regina IP	[u'2']
No	Geographical	17/10/2012	謝偉俊	Paul TSE	[u'2']
Yes	Geographical	21/11/2012	田北俊	James TIEN	[u'2']
Abstain	Functional	21/11/2012	吳亮星	NG Leung-sing	[u'2']
Yes	Functional	21/11/2012	何俊賢	Steven HO	[u'2']
Yes	Functional	21/11/2012	易志明	Frankie YICK	[u'2']
No	Geographical	21/11/2012	胡志偉	WU Chi-wai	[u'2']
Yes	Functional	21/11/2012	姚思榮	YIU Si-wing	[u'2']
No	Geographical	21/11/2012	范國威	Gary FAN	[u'2']
Abstain	Functional	21/11/2012	馬逢國	MA Fung-kwok	[u'2']
No	Functional	21/11/2012	莫乃光	Charles Peter MOK	[u'2']
No	Geographical	21/11/2012	陳志全	CHAN Chi-chuen	[u'2']
Yes	Geographical	21/11/2012	陳恒鑌	CHAN Han-pan	[u'2']
No	Geographical	21/11/2012	陳家洛	Dr Kenneth CHAN	[u'2']
Yes	Functional	07/11/2012	梁家騮	Dr LEUNG Ka-lau	[u'2']
No	Functional	07/11/2012	張國柱	CHEUNG Kwok-che	[u'2']
Abstain	Geographical	07/11/2012	黃國健	WONG Kwok-kin	[u'2']
Yes	Functional	07/11/2012	葉國謙	IP Kwok-him	[u'2']
No	Geographical	07/11/2012	葉劉淑儀	Mrs Regina IP	[u'2']
Yes	Geographical	07/11/2012	謝偉俊	Paul TSE	[u'2']
No	Geographical	07/11/2012	梁家傑	Alan LEONG	[u'2']
No	Geographical	07/11/2012	梁國雄	LEUNG Kwok-hung	[u'2']
No	Geographical	07/11/2012	陳偉業	Albert CHAN	[u'2']
No	Geographical	07/11/2012	黃毓民	WONG Yuk-man	[u'2']
No	Geographical	07/11/2012	毛孟靜	Claudia MO	[u'2']
Absent	Geographical	06/12/2012	梁國雄	LEUNG Kwok-hung	[u'2']
Absent	Geographical	06/12/2012	陳偉業	Albert CHAN	[u'2']
Absent	Geographical	06/12/2012	黃毓民	WONG Yuk-man	[u'2']
Yes	Geographical	06/12/2012	毛孟靜	Claudia MO	[u'2']
No	Geographical	06/12/2012	田北辰	Michael TIEN	[u'2']
Absent	Geographical	06/12/2012	田北俊	James TIEN	[u'2']
Absent	Functional	06/12/2012	吳亮星	NG Leung-sing	[u'2']
No	Functional	06/12/2012	何俊賢	Steven HO	[u'2']
No	Functional	06/12/2012	易志明	Frankie YICK	[u'2']
Abstain	Geographical	06/12/2012	胡志偉	WU Chi-wai	[u'2']
No	Functional	06/12/2012	姚思榮	YIU Si-wing	[u'2']
Yes	Geographical	06/12/2012	范國威	Gary FAN	[u'2']
No	Geographical	24/10/2012	湯家驊	Ronny TONG	[u'2']
No	Geographical	24/10/2012	何秀蘭	Cyd HO	[u'2']
Yes	Functional	24/10/2012	李慧琼	Starry LEE	[u'2']
Abstain	Functional	24/10/2012	林大輝	Dr LAM Tai-fai	[u'2']
Yes	Geographical	24/10/2012	陳克勤	CHAN Hak-kan	[u'2']
Yes	Functional	24/10/2012	陳健波	CHAN Kin-por	[u'2']
Abstain	Geographical	24/10/2012	梁美芬	Dr Priscilla LEUNG	[u'2']
Yes	Functional	24/10/2012	梁家騮	Dr LEUNG Ka-lau	[u'2']
No	Functional	24/10/2012	張國柱	CHEUNG Kwok-che	[u'2']
Abstain	Geographical	24/10/2012	黃國健	WONG Kwok-kin	[u'2']
Yes	Functional	24/10/2012	葉國謙	IP Kwok-him	[u'2']
No	Functional	12/12/2012	梁君彥	Andrew LEUNG	[u'2']
No	Functional	12/12/2012	黃定光	WONG Ting-kwong	[u'2']
Absent	Geographical	12/12/2012	湯家驊	Ronny TONG	[u'2']
Yes	Geographical	12/12/2012	何秀蘭	Cyd HO	[u'2']
No	Functional	12/12/2012	李慧琼	Starry LEE	[u'2']
Yes	Functional	12/12/2012	林大輝	Dr LAM Tai-fai	[u'2']
No	Geographical	12/12/2012	陳克勤	CHAN Hak-kan	[u'2']
No	Functional	12/12/2012	陳健波	CHAN Kin-por	[u'2']
No	Geographical	12/12/2012	梁美芬	Dr Priscilla LEUNG	[u'2']
Absent	Functional	12/12/2012	梁家騮	Dr LEUNG Ka-lau	[u'2']
Yes	Functional	12/12/2012	張國柱	CHEUNG Kwok-che	[u'2']
No	Geographical	12/12/2012	黃國健	WONG Kwok-kin	[u'2']
No	Functional	12/12/2012	葉國謙	IP Kwok-him	[u'2']
No	Geographical	12/12/2012	葉劉淑儀	Mrs Regina IP	[u'2']
No	Geographical	01/02/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
No	Functional	01/02/2013	廖長江	Martin LIAO	[u'1']
No	Functional	01/02/2013	潘兆平	POON Siu-ping	[u'1']
Abstain	Functional	01/02/2013	鄧家彪	TANG Ka-piu	[u'1']
No	Geographical	01/02/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
No	Functional	01/02/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
No	Functional	01/02/2013	鍾國斌	CHUNG Kwok-pan	[u'1']
No	Geographical	01/02/2013	鍾樹根	Christopher CHUNG	[u'1']
No	Functional	01/02/2013	謝偉銓	Tony TSE	[u'1']
Present	Geographical	01/02/2013	曾鈺成	TSANG Yok-sing	[u'2']
Yes	Functional	01/02/2013	何俊仁	Albert HO	[u'2']
Yes	Geographical	01/02/2013	李卓人	LEE Cheuk-yan	[u'2']
Absent	Functional	23/01/2013	鍾國斌	CHUNG Kwok-pan	[u'1']
Abstain	Geographical	23/01/2013	鍾樹根	Christopher CHUNG	[u'1']
No	Functional	23/01/2013	謝偉銓	Tony TSE	[u'1']
Present	Geographical	23/01/2013	曾鈺成	TSANG Yok-sing	[u'2']
Absent	Functional	23/01/2013	何俊仁	Albert HO	[u'2']
Yes	Geographical	23/01/2013	李卓人	LEE Cheuk-yan	[u'2']
Yes	Functional	23/01/2013	涂謹申	James TO	[u'2']
Yes	Geographical	23/01/2013	陳鑑林	CHAN Kam-lam	[u'2']
Yes	Geographical	23/01/2013	梁耀忠	LEUNG Yiu-chung	[u'2']
Absent	Functional	23/01/2013	劉皇發	Dr LAU Wong-fat	[u'2']
Yes	Geographical	20/03/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
Yes	Functional	20/03/2013	廖長江	Martin LIAO	[u'1']
Yes	Functional	20/03/2013	潘兆平	POON Siu-ping	[u'1']
Absent	Functional	20/03/2013	鄧家彪	TANG Ka-piu	[u'1']
Absent	Geographical	20/03/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
Yes	Functional	20/03/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
Absent	Functional	20/03/2013	鍾國斌	CHUNG Kwok-pan	[u'1']
Absent	Geographical	20/03/2013	鍾樹根	Christopher CHUNG	[u'1']
No	Functional	19/12/2012	廖長江	Martin LIAO	[u'1']
No	Functional	19/12/2012	潘兆平	POON Siu-ping	[u'1']
No	Functional	19/12/2012	鄧家彪	TANG Ka-piu	[u'1']
No	Geographical	19/12/2012	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
No	Functional	19/12/2012	盧偉國	Ir Dr LO Wai-kwok	[u'1']
No	Functional	19/12/2012	鍾國斌	CHUNG Kwok-pan	[u'1']
No	Geographical	19/12/2012	鍾樹根	Christopher CHUNG	[u'1']
No	Functional	19/12/2012	謝偉銓	Tony TSE	[u'1']
Present	Geographical	20/12/2012	曾鈺成	TSANG Yok-sing	[u'2']
Yes	Functional	20/12/2012	何俊仁	Albert HO	[u'2']
Yes	Functional	10/01/2013	涂謹申	James TO	[u'2']
Abstain	Geographical	10/01/2013	陳鑑林	CHAN Kam-lam	[u'2']
Absent	Geographical	10/01/2013	梁耀忠	LEUNG Yiu-chung	[u'2']
Absent	Functional	10/01/2013	劉皇發	Dr LAU Wong-fat	[u'2']
Yes	Geographical	10/01/2013	劉慧卿	Emily LAU	[u'2']
Abstain	Geographical	10/01/2013	譚耀宗	TAM Yiu-chung	[u'2']
No	Functional	10/01/2013	石禮謙	Abraham SHEK	[u'2']
Absent	Functional	10/01/2013	張宇人	Tommy CHEUNG	[u'2']
Yes	Functional	10/01/2013	馮檢基	Frederick FUNG	[u'2']
Absent	Functional	10/01/2013	方剛	Vincent FANG	[u'2']
Yes	Geographical	10/01/2013	王國興	WONG Kwok-hing	[u'2']
Yes	Geographical	27/03/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
Yes	Functional	27/03/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
Yes	Functional	27/03/2013	鍾國斌	CHUNG Kwok-pan	[u'1']
Absent	Geographical	27/03/2013	鍾樹根	Christopher CHUNG	[u'1']
Absent	Functional	27/03/2013	謝偉銓	Tony TSE	[u'1']
Present	Geographical	27/03/2013	曾鈺成	TSANG Yok-sing	[u'2']
Abstain	Functional	27/03/2013	何俊仁	Albert HO	[u'2']
Yes	Geographical	27/03/2013	李卓人	LEE Cheuk-yan	[u'2']
Abstain	Functional	27/03/2013	涂謹申	James TO	[u'2']
Yes	Geographical	20/02/2013	郭家麒	Dr KWOK Ka-ki	[u'1']
Absent	Functional	20/02/2013	郭偉強	KWOK Wai-keung	[u'1']
Yes	Functional	20/02/2013	郭榮鏗	Dennis KWOK	[u'1']
No	Functional	20/02/2013	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	20/02/2013	張超雄	Dr Fernando CHEUNG	[u'1']
Yes	Geographical	20/02/2013	單仲偕	SIN Chung-kai	[u'1']
Yes	Geographical	20/02/2013	黃碧雲	Dr Helena WONG	[u'1']
Yes	Functional	20/02/2013	葉建源	IP Kin-yuen	[u'1']
No	Geographical	20/02/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
No	Functional	20/02/2013	廖長江	Martin LIAO	[u'1']
No	Functional	20/02/2013	潘兆平	POON Siu-ping	[u'1']
No	Functional	20/02/2013	鄧家彪	TANG Ka-piu	[u'1']
Absent	Functional	06/02/2013	張華峰	Christopher CHEUNG	[u'1']
Yes	Geographical	06/02/2013	張超雄	Dr Fernando CHEUNG	[u'1']
No	Geographical	06/02/2013	單仲偕	SIN Chung-kai	[u'1']
No	Geographical	06/02/2013	黃碧雲	Dr Helena WONG	[u'1']
No	Functional	06/02/2013	葉建源	IP Kin-yuen	[u'1']
Yes	Geographical	06/02/2013	葛珮帆	Dr Elizabeth QUAT	[u'1']
Abstain	Functional	06/02/2013	廖長江	Martin LIAO	[u'1']
Yes	Functional	06/02/2013	潘兆平	POON Siu-ping	[u'1']
Yes	Functional	06/02/2013	鄧家彪	TANG Ka-piu	[u'1']
Yes	Geographical	06/02/2013	蔣麗芸	Dr CHIANG Lai-wan	[u'1']
Yes	Functional	06/02/2013	盧偉國	Ir Dr LO Wai-kwok	[u'1']
No	Geographical	24/04/2013	陳偉業	Albert CHAN	[u'1']
No	Geographical	24/04/2013	黃毓民	WONG Yuk-man	[u'1']
No	Geographical	24/04/2013	毛孟靜	Claudia MO	[u'1']
Yes	Geographical	24/04/2013	田北辰	Michael TIEN	[u'1']
Absent	Geographical	24/04/2013	田北俊	James TIEN	[u'1']
Yes	Functional	24/04/2013	吳亮星	NG Leung-sing	[u'1']
Yes	Functional	24/04/2013	何俊賢	Steven HO	[u'1']
Absent	Functional	24/04/2013	易志明	Frankie YICK	[u'1']
No	Geographical	24/04/2013	胡志偉	WU Chi-wai	[u'1']
Yes	Functional	24/04/2013	姚思榮	YIU Si-wing	[u'1']
No	Geographical	24/04/2013	范國威	Gary FAN	[u'1']
Yes	Functional	24/04/2013	馬逢國	MA Fung-kwok	[u'1']
Abstain	Functional	24/04/2013	莫乃光	Charles Peter MOK	[u'1']
Yes	Functional	22/05/2013	方剛	Vincent FANG	[u'1']
Absent	Geographical	22/05/2013	王國興	WONG Kwok-hing	[u'1']
Yes	Functional	22/05/2013	李國麟	Dr Joseph LEE	[u'1']
Yes	Functional	22/05/2013	林健鋒	Jeffrey LAM	[u'1']
Yes	Functional	22/05/2013	梁君彥	Andrew LEUNG	[u'1']
Yes	Functional	22/05/2013	黃定光	WONG Ting-kwong	[u'1']
